SF_ID_ENCR,ES_ECID,ES_HQECID,ES_MatchScore,ES_Tier,ES_WebsiteStatus,ES_InactiveFlag
4CCA1445CBD81565D567EBA5E2E79914,181731096,181731096,1,1,VALID,
F5FDFEFA2FF8B170CBD92A92E554D6CA,140632390,140632390,1,1,VALID,
B0CB27A52B9D2C6B1DC060575C535C37,129001922,129001922,1,1,VALID,
7664220E84110EC3B0B9940925BA7118,152791319,152791319,1,3,VALID,
F3F3DCE6F55F73769D6A9CA4BB739282,156553139,156553139,1,1,VALID,
430A1410313B1FD11B9C01804FF92EB0,,,,,,
AB10016EF2486DE9668D8EFB80159D0F,208922896,208922896,1,2,,
C11CC068B5CD2E54CF3B3D55ED4EC1BE,136236143,136236143,1,1,VALID,
ED89E7B56DB9C0C2EEB92D35D9E2F9B5,130915092,130915092,1,3,VALID,
BDE7FE467A3D00F78EB79137005A9F30,133471517,133471517,1,2,VALID,
D90608E98292E593A6739E8DFCFA02CB,,,,,,
